concept_id,label,plain_label,subtitle,display_concept_id,display_refined,display_refinement_confidence,alternate_display_labels,bucket_hint,instance_support,distinct_paper_support,weighted_degree,pagerank,in_degree,out_degree,neighbor_count,top_countries,top_units,app_link
FG3C000090,economic growth (GDP),economic growth (GDP),,FG3C000090,False,0.0,"[""China's economic growth (GDP growth)"", ""Economic Growth (GDP)"", ""Economic growth (GDP growth rate)""]",adjacent,306,306,458.0,0.02576999,40,40,49,"[""China"", ""India"", ""Pakistan""]","[""country"", ""region"", ""industry""]",https://frontiergraph-app-1058669339361.us-central1.run.app?variant=broad&view=concept&concept=FG3C000090
FG3C000013,technological innovation,technological innovation,,FG3C000013,False,0.0,"[""Technological Innovation""]",adjacent,849,849,441.0,0.01421362,38,41,55,"[""China"", ""CHN"", ""India""]","[""country"", ""region"", ""location""]",https://frontiergraph-app-1058669339361.us-central1.run.app?variant=broad&view=concept&concept=FG3C000013
FG3C000057,renewable energy,renewable energy,,FG3C000057,False,0.0,"[""Cost of renewable energy"", ""Rare earths"", ""Renewable energy""]",adjacent,512,510,398.0,0.00997921,26,41,53,"[""China"", ""India"", ""Brazil""]","[""country"", ""region"", ""firm""]",https://frontiergraph-app-1058669339361.us-central1.run.app?variant=broad&view=concept&concept=FG3C000057
FG3C000158,electricity consumption,electricity consumption,,FG3C000158,False,0.0,"[""Bitcoin electricity consumption"", ""China's electricity sector"", ""Electrical energy consumption""]",adjacent,213,213,307.0,0.01042555,25,29,35,"[""China"", ""CHN"", ""Algeria""]","[""country"", ""region"", ""household""]",https://frontiergraph-app-1058669339361.us-central1.run.app?variant=broad&view=concept&concept=FG3C000158
FG3C000041,energy intensity,energy intensity,,FG3C000041,False,0.0,"[""Aggregate energy intensity"", ""Energy Intensity"", ""total energy intensity""]",adjacent,481,481,276.0,0.00966836,37,32,56,"[""China"", ""CHN"", ""OECD""]","[""country"", ""region"", ""location""]",https://frontiergraph-app-1058669339361.us-central1.run.app?variant=broad&view=concept&concept=FG3C000041
FG3C000130,environmental degradation,environmental degradation,,FG3C000130,False,0.0,"[""Environmental Degradation"", ""Environmental degradation / pollution"", ""Forest degradation""]",adjacent,209,209,251.0,0.01614082,37,11,38,"[""China"", ""India"", ""Pakistan""]","[""country"", ""region"", ""location""]",https://frontiergraph-app-1058669339361.us-central1.run.app?variant=broad&view=concept&concept=FG3C000130
FG3C000167,carbon dioxide (CO2) emission,carbon dioxide (CO2) emission,,FG3C000167,False,0.0,"[""CO2 emissions growth"", ""Carbon Dioxide"", ""Carbon Dioxide (CO2) emissions""]",adjacent,172,172,247.0,0.01344558,41,11,43,"[""China"", ""OECD"", ""Brazil""]","[""country"", ""region"", ""location""]",https://frontiergraph-app-1058669339361.us-central1.run.app?variant=broad&view=concept&concept=FG3C000167
FG3C000036,institutional quality,institutional quality,,FG3C000036,False,0.0,"[""Domestic institutional quality"", ""Formal institutional quality"", ""Host country institutional quality""]",adjacent,490,490,240.0,0.00339251,11,46,47,"[""China"", ""India"", ""OECD""]","[""country"", ""region"", ""firm""]",https://frontiergraph-app-1058669339361.us-central1.run.app?variant=broad&view=concept&concept=FG3C000036
FG3C000122,natural resources,natural resources,,FG3C000122,False,0.0,"[""Discovery of natural resources"", ""Land resources"", ""Natural Resources""]",adjacent,308,308,239.0,0.00485058,14,37,41,"[""China"", ""CHN"", ""Pakistan""]","[""country"", ""region"", ""location""]",https://frontiergraph-app-1058669339361.us-central1.run.app?variant=broad&view=concept&concept=FG3C000122
FG3C000173,energy use,energy use,,FG3C000173,False,0.0,"[""Conventional energy use"", ""Energy use"", ""Face mask use""]",adjacent,198,198,223.0,0.00997295,26,33,42,"[""China"", ""India"", ""Pakistan""]","[""country"", ""individual"", ""region""]",https://frontiergraph-app-1058669339361.us-central1.run.app?variant=broad&view=concept&concept=FG3C000173
FG3C000134,environmental sustainability,environmental sustainability,,FG3C000134,False,0.0,"[""Airport sustainability"", ""Economic and environmental sustainability"", ""Enterprise sustainability""]",adjacent,255,255,198.0,0.01461184,38,8,39,"[""China"", ""India"", ""OECD""]","[""country"", ""firm"", ""region""]",https://frontiergraph-app-1058669339361.us-central1.run.app?variant=broad&view=concept&concept=FG3C000134
FG3C000063,green finance,green finance,,FG3C000063,False,0.0,"[""Green Finance"", ""green digital finance""]",adjacent,371,371,196.0,0.00683472,21,32,38,"[""China"", ""CHN"", ""OECD""]","[""region"", ""country"", ""location""]",https://frontiergraph-app-1058669339361.us-central1.run.app?variant=broad&view=concept&concept=FG3C000063
FG3C000025,income inequality,income inequality,,FG3C000025,False,0.0,"[""Income inequality"", ""Top income inequality"", ""Wealth inequality in China""]",core,524,524,191.0,0.0068168,24,16,33,"[""China"", ""United States"", ""OECD""]","[""country"", ""region"", ""household""]",https://frontiergraph-app-1058669339361.us-central1.run.app?variant=broad&view=concept&concept=FG3C000025
FG3C000053,green innovation,green innovation,,FG3C000053,False,0.0,"[""Corporate green innovation performance"", ""Firms' green technology innovation"", ""Green Financial Reform and Innovation Pilot Zones""]",adjacent,483,471,173.0,0.00650714,26,23,40,"[""China"", ""CHN"", ""BRICS""]","[""firm"", ""country"", ""location""]",https://frontiergraph-app-1058669339361.us-central1.run.app?variant=broad&view=concept&concept=FG3C000053
