family,count,share,stage
energy consumption,8,0.04,h5_surface_top100
state of the business cycle,8,0.04,h5_surface_top100
environmental quality,7,0.035,h5_surface_top100
financial development,6,0.03,h5_surface_top100
renewable energy consumption,5,0.025,h5_surface_top100
environmental pollution,4,0.02,h5_surface_top100
income tax rate,4,0.02,h5_surface_top100
price changes,4,0.02,h5_surface_top100
technological innovation,4,0.02,h5_surface_top100
environmental sustainability,3,0.015,h5_surface_top100
rate of growth,3,0.015,h5_surface_top100
renewable energy,3,0.015,h5_surface_top100
carbon emissions,25,0.125,h5_shortlist_top100
state of the business cycle,13,0.065,h5_shortlist_top100
willingness to pay,13,0.065,h5_shortlist_top100
green innovation,10,0.05,h5_shortlist_top100
financial development,9,0.045,h5_shortlist_top100
environmental quality,7,0.035,h5_shortlist_top100
income tax rate,7,0.035,h5_shortlist_top100
technological innovation,6,0.03,h5_shortlist_top100
urbanization,6,0.03,h5_shortlist_top100
digital economy,5,0.025,h5_shortlist_top100
price changes,5,0.025,h5_shortlist_top100
energy consumption,4,0.02,h5_shortlist_top100
environmental pollution,4,0.02,h5_shortlist_top100
environmental regulation,4,0.02,h5_shortlist_top100
exports,4,0.02,h5_shortlist_top100
method of moments quantile regression,25,0.125,h10_transparent_top100
fg3c006259,22,0.11,h10_transparent_top100
fg3c004868,18,0.09,h10_transparent_top100
fg3c004419,17,0.085,h10_transparent_top100
model parameters,15,0.075,h10_transparent_top100
fg3c005379,14,0.07,h10_transparent_top100
fg3c002170,11,0.055,h10_transparent_top100
fg3c005672,9,0.045,h10_transparent_top100
fg3c001572,8,0.04,h10_transparent_top100
number of agents,8,0.04,h10_transparent_top100
fg3c004114,5,0.025,h10_transparent_top100
fg3c006079,5,0.025,h10_transparent_top100
fg3c005628,4,0.02,h10_transparent_top100
place of residence,4,0.02,h10_transparent_top100
carbon emissions,3,0.015,h10_transparent_top100
method of moments quantile regression,59,0.295,h10_reranker_top100
carbon emissions,20,0.1,h10_reranker_top100
economic growth,9,0.045,h10_reranker_top100
fg3c001572,4,0.02,h10_reranker_top100
green innovation,4,0.02,h10_reranker_top100
willingness to pay,4,0.02,h10_reranker_top100
environmental quality,3,0.015,h10_reranker_top100
fg3c001570,3,0.015,h10_reranker_top100
place of residence,3,0.015,h10_reranker_top100
energy consumption,2,0.01,h10_reranker_top100
fg3c000971,2,0.01,h10_reranker_top100
fg3c002865,2,0.01,h10_reranker_top100
fg3c004019,2,0.01,h10_reranker_top100
fg3c004419,2,0.01,h10_reranker_top100
financial development,2,0.01,h10_reranker_top100
carbon emissions,42,0.21,h10_surface_top100
green innovation,13,0.065,h10_surface_top100
state of the business cycle,9,0.045,h10_surface_top100
energy consumption,8,0.04,h10_surface_top100
willingness to pay,8,0.04,h10_surface_top100
financial development,7,0.035,h10_surface_top100
environmental quality,6,0.03,h10_surface_top100
renewable energy consumption,6,0.03,h10_surface_top100
technological innovation,6,0.03,h10_surface_top100
price changes,5,0.025,h10_surface_top100
digital economy,4,0.02,h10_surface_top100
environmental pollution,4,0.02,h10_surface_top100
environmental regulation,4,0.02,h10_surface_top100
income tax rate,4,0.02,h10_surface_top100
rate of growth,4,0.02,h10_surface_top100
carbon emissions,25,0.125,h10_shortlist_top100
green innovation,12,0.06,h10_shortlist_top100
state of the business cycle,12,0.06,h10_shortlist_top100
willingness to pay,11,0.055,h10_shortlist_top100
financial development,9,0.045,h10_shortlist_top100
technological innovation,8,0.04,h10_shortlist_top100
income tax rate,7,0.035,h10_shortlist_top100
environmental quality,6,0.03,h10_shortlist_top100
price changes,6,0.03,h10_shortlist_top100
urbanization,6,0.03,h10_shortlist_top100
digital economy,5,0.025,h10_shortlist_top100
energy consumption,5,0.025,h10_shortlist_top100
environmental pollution,4,0.02,h10_shortlist_top100
environmental regulation,4,0.02,h10_shortlist_top100
foreign direct investments,4,0.02,h10_shortlist_top100
